key,word,occurrence
about,minecraft,287
about,it,105
about,that,33
about,me,12
about,my,12
actually,looks,25
actually,have,10
actually,really,10
actually,fun,7
actually,pretty,7
all,the,244
all,of,139
all,day,81
all,know,20
all,this,18
also,be,27
also,minecraft,25
also,have,21
also,do,7
also,like,7
am,playing,26
am,not,22
am,the,13
am,and,10
am,in,9
an,hour,69
an,xbox,22
an,amazing,22
an,actual,15
an,update,15
and,minecraft,485
and,it,274
and,then,155
and,we,90
and,they,68
any,of,37
any,other,25
any,game,13
any,chance,12
any,suggestions,9
are,you,193
are,the,97
are,my,46
are,playing,40
are,not,33
as,well,109
as,it,40
as,fuck,25
as,my,21
as,if,17
at,the,193
at,minecraft,134
at,all,59
at,pm,59
at,like,7
be,the,112
be,in,90
be,able,70
be,playing,68
be,like,63
been,playing,115
been,watching,25
been,on,18
been,able,12
been,working,11
but,it,165
but,my,50
but,now,48
but,also,36
but,when,34
by,the,60
by,minecraft,30
by,my,14
by,and,5
by,making,4
can,you,181
can,play,137
can,get,71
can,someone,45
can,build,22
de,minecraft,1035
de,la,63
de,jugar,61
de,que,26
de,un,16
do,you,328
do,minecraft,255
do,it,82
do,that,62
do,is,34
dungeons,looks,90
dungeons,and,43
dungeons,it,13
dungeons,will,13
dungeons,in,8
el,minecraft,353
el,mejor,19
el,mundo,15
el,puto,15
el,nuevo,13
en,minecraft,218
en,la,62
en,mi,21
en,cuanto,7
en,usd,6
es,el,35
es,que,34
es,minecraft,31
es,una,28
es,como,20
even,though,34
even,if,30
even,have,17
even,more,11
even,make,9
for,the,560
for,minecraft,448
for,me,170
for,my,154
for,it,70
fortnite,is,93
fortnite,and,69
fortnite,or,26
fortnite,just,10
fortnite,now,9
from,minecraft,267
from,my,80
from,me,16
from,that,11
from,all,7
fucking,minecraft,72
fucking,love,10
fucking,game,6
fucking,with,4
fucking,fun,4
game,and,91
game,that,58
game,of,50
game,but,39
game,looks,24
games,like,56
games,and,37
games,of,20
games,is,15
games,on,15
get,minecraft,100
get,it,53
get,back,44
get,on,41
get,my,28
good,at,49
good,minecraft,43
good,game,32
good,day,25
good,and,25
got,minecraft,85
got,me,33
got,my,30
got,some,11
got,that,8
has,been,111
has,the,44
has,to,36
has,minecraft,26
has,no,15
have,to,310
have,the,107
have,no,90
have,any,33
have,fun,30
he,was,73
he,is,67
he,can,22
he,plays,17
he,gets,17
